textid,anger,disgust,fear,joy,sad,surprise
1,0.0953012,0.0942076,0.148476,0.161205,0.211174,0.289637
2,0.090238,0.0583233,0.227245,0.197251,0.158145,0.268798
3,0.0268152,0.0117366,0.0641539,0.369788,0.210057,0.31745
4,0.123726,0.107547,0.134708,0.199013,0.162307,0.272699
5,0.0811114,0.0622674,0.0510876,0.377595,0.169754,0.258185
6,0.202724,0.0704509,0.187607,0.0605772,0.328922,0.149718
7,0.0585504,0.0495769,0.146451,0.276909,0.195898,0.272614
8,0.12193,0.0515922,0.227918,0.108292,0.246347,0.243921
9,0.058939,0.120573,0.0860758,0.284254,0.114677,0.335481
10,0.100521,0.055787,0.178019,0.192918,0.282754,0.190001
11,0.0565501,0.0228101,0.12052,0.424733,0.138466,0.236921
12,0.0776531,0.0616144,0.206689,0.27845,0.166103,0.209491
13,0.077822,0.0407234,0.0994107,0.381291,0.118179,0.282574
14,0.0869052,0.0482598,0.119819,0.305941,0.187086,0.251988
15,0.194961,0.104982,0.302507,0.1099,0.17643,0.11122
16,0.126284,0.107905,0.25276,0.0998862,0.18453,0.228636
17,0.0538652,0.0485511,0.124737,0.46169,0.0897146,0.221442
18,0.0890121,0.0217073,0.144221,0.213578,0.231738,0.299743
19,0.0732349,0.0282456,0.144607,0.256902,0.163216,0.333795
20,0.0861543,0.051742,0.164641,0.223432,0.2305,0.243531
21,0.121192,0.0536515,0.108185,0.387231,0.137754,0.191986
22,0.0315547,0.0444486,0.0769419,0.378185,0.192225,0.276644
23,0.0552498,0.0299742,0.102113,0.322129,0.204126,0.286407
24,0.107985,0.0434442,0.113267,0.155614,0.176143,0.403547
25,0.0735244,0.0517965,0.0730249,0.391487,0.166807,0.24336
26,0.0454717,0.0459856,0.111806,0.176673,0.337871,0.282193
27,0.0952759,0.0660942,0.15593,0.226682,0.256347,0.199671
28,0.104761,0.0574514,0.201406,0.151715,0.287348,0.197318
29,0.137231,0.0845424,0.197139,0.181781,0.187805,0.211502
30,0.072222,0.0327385,0.122341,0.323139,0.137226,0.312333
31,0.0771381,0.0505043,0.0912741,0.444857,0.125768,0.210459
32,0.0743177,0.0510126,0.222212,0.265362,0.19526,0.191835
33,0.0562453,0.0497444,0.0952147,0.316711,0.264365,0.21772
34,0.0918678,0.0448895,0.18745,0.340888,0.120781,0.214125
35,0.0351246,0.0496999,0.067993,0.488298,0.108623,0.250261
36,0.0667848,0.021538,0.0960389,0.41729,0.15137,0.246978
37,0.111612,0.059463,0.189298,0.139887,0.258769,0.240971
38,0.0613154,0.0575978,0.104692,0.37628,0.110373,0.289742
39,0.155809,0.107071,0.165607,0.241264,0.144489,0.18576
40,0.119172,0.057869,0.214444,0.243058,0.163973,0.201484
41,0.0639513,0.0452008,0.0666527,0.368689,0.166897,0.28861
42,0.119754,0.0699047,0.337694,0.193972,0.148115,0.130559
43,0.03858,0.0468763,0.115629,0.351593,0.208679,0.238643
44,0.127077,0.124201,0.132544,0.190765,0.245087,0.180326
45,0.0702367,0.0506195,0.137047,0.250931,0.259514,0.231652
46,0.0401046,0.0494346,0.127405,0.357716,0.21109,0.21425
47,0.0499682,0.0643329,0.17497,0.299306,0.197699,0.213724
48,0.0911849,0.058053,0.142211,0.268729,0.226076,0.213745
49,0.0858061,0.060699,0.22242,0.216113,0.233481,0.181481
50,0.146825,0.0866178,0.173602,0.242199,0.176214,0.174542
51,0.106217,0.0735445,0.139274,0.276039,0.212669,0.192257
52,0.0511523,0.0188196,0.199853,0.35112,0.164699,0.214356
53,0.0562361,0.0874452,0.0774254,0.282279,0.140033,0.35658
54,0.063785,0.0265756,0.0596663,0.445278,0.0730444,0.331651
55,0.0683563,0.0334315,0.126189,0.247419,0.35163,0.172975
56,0.0870143,0.074752,0.048828,0.374502,0.165739,0.249165
57,0.070877,0.0401002,0.129489,0.320023,0.172454,0.267057
58,0.0640571,0.0427881,0.116505,0.318111,0.165172,0.293367
59,0.0822887,0.0597508,0.142602,0.322001,0.200811,0.192547
60,0.0965323,0.0468849,0.112687,0.278391,0.207353,0.258151
61,0.090025,0.0810418,0.153852,0.275427,0.179929,0.219725
62,0.0555841,0.0429572,0.252798,0.218469,0.1886,0.241592
63,0.0630675,0.0593911,0.0555853,0.44134,0.132947,0.247669
64,0.0735622,0.0487573,0.186031,0.35805,0.0686223,0.264978
65,0.130414,0.0707291,0.130299,0.204969,0.237183,0.226406
66,0.0798785,0.0371728,0.193402,0.268596,0.249436,0.171515
67,0.0583227,0.0442174,0.0438045,0.486537,0.121876,0.245242
68,0.0555386,0.0216581,0.109663,0.364001,0.154587,0.294551
69,0.0963534,0.0533954,0.206275,0.167965,0.29167,0.184341
70,0.062883,0.0472154,0.0923242,0.250106,0.105349,0.442122
71,0.0461342,0.0639331,0.131117,0.313451,0.230899,0.214466
72,0.0883746,0.077247,0.0771177,0.327802,0.235244,0.194215
73,0.112928,0.0660818,0.193985,0.142094,0.307623,0.177289
74,0.0401885,0.0216029,0.15051,0.359146,0.211924,0.216629
75,0.161106,0.0404576,0.281191,0.138644,0.187647,0.190955
76,0.0922464,0.0606234,0.171825,0.194791,0.243583,0.236932
77,0.0568962,0.0349524,0.136192,0.266217,0.276278,0.229464
78,0.0302084,0.0195777,0.0516562,0.700801,0.0450021,0.152755
79,0.0713982,0.0322549,0.114231,0.315982,0.174161,0.291973
80,0.122953,0.0440295,0.134867,0.255458,0.213814,0.228879
81,0.103166,0.0321947,0.183822,0.267851,0.194165,0.218801
82,0.128033,0.035652,0.123651,0.207961,0.291963,0.21274
83,0.0505561,0.0173415,0.118277,0.404558,0.12095,0.288318
84,0.103048,0.0592807,0.184995,0.160074,0.257983,0.234619
85,0.0759162,0.0601423,0.222893,0.0718958,0.326567,0.242586
86,0.0658992,0.057848,0.239727,0.250017,0.170949,0.21556
87,0.204245,0.0836339,0.232761,0.0796351,0.290641,0.109083
88,0.0747988,0.0492811,0.0865454,0.372834,0.137365,0.279176
89,0.0559413,0.038663,0.0736779,0.431147,0.155814,0.244756
90,0.097812,0.0446762,0.122616,0.266833,0.345782,0.12228
