Words (split by space),label
europe retain trophy with big win,joy
senate votes to revoke pensions,sad
the amounts you have to pay for a bomb scare,fear
pair of satellites will document sun in d,joy
malaysian airasia x to fly in july,joy
dow hits new record eyes,joy
bathing mom awakes to find baby dead,sad
we re a pretty kind bully,joy
women in their s are perfectly good mothers,sad
hands on doomsday clock move forward,fear
italy to hold no show trial of bronx gi in iraq slay,anger
what the godfather of soul meant to me,joy
snow begins heavy accumulations expected,fear
millionaire secret santa dies,sad
martian life could have evaded detection by viking landers,surprise
gunman was srebrenica survivor,surprise
world tourism sets record in,joy
earthlink ceo dies at age,sad
goal delight for sheva,joy
late penalty costs roma the points,sad
house of cards actor ian richardson dead,sad
even before its release world climate report is criticized as too optimistic,fear
mln birds to be vaccinated from bird flu near moscow,joy
speaker hastert testifies before panel probing sex scandal,disgust
we lit our last candle yesterday,sad
putin vows to tackle illegal immigration,anger
mideast summit edns with little progress,sad
deadly bird flu confirmed in british turkeys,fear
an iphone by any other name surely not,surprise
will north korea honor pledge this time,joy
nasdaq lse battle nears deadline,fear
combative bush releases parts of terror study,fear
iraq car bombings kill people wound more than,sad
comedian says government silences critics,sad
pamuk wins nobel literature prize,joy
bill gates and craig mundie vista is secure employees are not,surprise
psp number one sony platform in japan,joy
at new ozzfest freedom ain t free,surprise
ecb holds rates at percent,joy
princess and heir of franz ferdinand fights to repeal a law and gain a castle,joy
eu will urge china to go green,joy
new indonesia calamity a mud bath is man made,anger
tom cruise and katie holmes set wedding date,joy
hatton hands back ibf title again,joy
secret hotels in irish countryside,surprise
officers had rapport with alleged abductor,disgust
iran and nicaraguan leaders meet,joy
yankee dies in plane crash official says,sad
mickelson sutherland share lead,joy
apple drops bombshell with iphone,surprise
iran to strike us interests if attacked,fear
dr mcdreamy choked in grey s scuffle,sad
gunmen abduct filipino woman in nigeria,fear
escape to prague without the summer hordes,joy
confusion reigns in the expanding digital world,surprise
alaska s northern lights captivate japanese,joy
riot warning for france suburbs,sad
hussein s niece pleads for father s life,sad
nadal wants australian open crown,joy
blog here come the globes,joy
dispute over iraqi cleric said to have gone to iran,anger
thai govt moves to smooth over relations with south,joy
rwanda mulls three child limit,surprise
beware of peanut butter pathogens,fear
celebrities protest malibu gas facility,joy
freed muslim terror suspect says britain is police state,fear
happy birthday ipod,joy
advantage cardinals with suppan in game,joy
vegetables may boost brain power in older adults,surprise
matt shines with his alpine finish,joy
japan s economy grows,joy
believing scripture but playing by science s rules,surprise
pig cells hope for diabetes cure,surprise
vaccines mandate or choice,surprise
tbs to pay m fine for ad campaign bomb scare,fear
bombings say muslim rebels won t negotiate,fear
u s diverts troops to fight taliban,anger
livingstone s transport empire may extend,joy
time to book your cruise,joy
us helicopter crash kills troops in afghanistan,sad
at least die as blast levels baghdad market,sad
cartoon network head steps down,sad
russia condemns terrorist acts on buses outside beirut,sad
ice storms kill across nation,sad
paula abdul i have never been drunk,surprise
bookworm adventures wordsmith s joy,joy
new cancer drug to save a thousand lives a year,joy
park stars as united maintain lead,joy
edwards blogger quits becomes journalistic martyr,surprise
families celebrate return of sons,joy
no intention of war with iran us says,joy
video games can improve your vision,surprise
mickelson driving force at masters,joy
anti u s attack videos spread on the internet,anger
cisco sues apple over iphone name,anger
beckham posh and more athlete celebrity couples,joy
roots of autism more complex than thought,surprise
annual diving contest in south korea proves a chilly challenge,surprise
spanish journalist seized in gaza,fear
microsoft sony we have a problem,surprise
us soldiers die in day of violence,sad
u s gunman was srebrenica survivor,surprise
germany agonizes over a brain drain,sad
marathon winner released from hospital,joy
gronholm takes a commanding lead,joy
surprise china cuts price of gas,joy
why the smell of a man s armpit is a turn on,surprise
sexualisation harms young girls,anger
antibiotic ketek more dangerous than thought,fear
south african trio share advantage,joy
alaska town cut off from rest of state by flood,fear
panel issues bleak report on climate change,fear
abbas condemns israeli massacre in northern gaza strip,disgust
questions on credit card safety,fear
bigger more aggressive rats infesting uk,fear
philippine president welcomes senate approval of anti terror bill,joy
earthlink ceo dies at age,sad
action games improve eyesight,surprise
desperate iraqi mother relies on militia for help,sad
foreign minister of colombia quits in scandal,disgust
get ready for the earnings,joy
europe take big royal trophy lead,joy
clijsters looks for a long goodbye,sad
bebe neuwirth gets to wiggle again,joy
kylie s love split,sad
bridge blast stops i traffic,fear
passing exchange becomes political flashpoint,anger
rocky start for bangkok airport,surprise
nfl team s fan of the year flag lady,joy
super bowl mvp manning insists he s one of the guys,joy
oregon snorkeler mistaken for rodent shot in face,sad
turkmen acting leader sworn in as new president,joy
dolphins sea lions may report for duty soon,joy
police warn of child exploitation online,disgust
floods force malaysia evacuations,sad
kidnapped ap photographer freed in gaza,fear
navarrette minutemen have a right to be idiotic,sad
vaccine mandate upsets legislators,anger
sex torture claims hit russia army,disgust
man beheaded in southern thailand,sad
de villiers stretches overall lead,joy
airbus a superjumbo takes off,joy
for women nothing s like the smell of men s sweat,surprise
tariq ramadan has an identity issue,surprise
study men s sweat triggers high sexual arousal in women,surprise
blair terror battle will be long,fear
fingers crossed for north korea,joy
warner will not run in,sad
blake defeats moya to retain title,joy
nicole kidman asks dad to help stop husband s drinking,sad
bush it s time for congress to back energy plan,joy
fuel spill may lead to missing jet,fear
paterson boots scotland to victory,joy
here come the globes,joy
shareholders sue apple,anger
bellsouth says profit rises on cingular earnings,joy
lies damned lies and divorce,sad
judge dismisses karr s porn case,surprise
male sweat can raise hormones,surprise
founder returns to dell helm,joy
anger at release of two held over beheading plot,anger
move to ban ipods from crossing the street,surprise
did nasa accidentally kill life on mars,surprise
briefly preloaded ipods wal mart movies apple stores,joy
peter jackson will never work for me again,anger
china considers eurobond reserves,joy
student starts white men s club on campus,sad
depp to make litvinenko movie,joy
probe under way in yankee crash,sad
tom cruise and katie holmes set wedding date,joy
toddler died from tainted spinach,sad
technology may save india s river dolphins,joy
roddick overcomes federer in final,joy
sarkozy letter surprises french cartoons hearing,surprise
dem leader s million land deal under scrutiny,anger
barack obama formally announces bid for president,joy
cutting edge accessories for digital music players,joy
swiss plane crashes at moscow airport,sad
federer handed tough aussie draw,sad
two muslim groups sue french newspaper international,anger
