pet_name,pet_charmingvalue,pet_description,pet_price
申公豹,18,藏蓝色的身体健硕光泽，蓝色的花纹散发着淡淡光芒，围绕在周围的黑烟是速度的证明,50000
小竹鼠,14,以神竹为食的竹鼠经过岁月的沉淀后获得神力，拥有神力的它的下一个目标就是：统治世界。,10000
极地龙龟,18,以冰冷的气势冰冻对手，以帝王的姿态震慑全场，誓做赛车手最坚定的后盾。,50000
汪汪队长,14,再尽忠职守的宪兵，也有想要打会儿瞌睡的时候，嘘！没人发现吧~,10000
虎灵猫,14,洁白顺滑的身体上缀有圣金铠甲，高贵奢华，如蓝天般的瞳色坚毅犀利，具有魅惑之力，相传是元古圣王的灵宠。,10000
牛魔王,18,吼声响震山神怕，行动威风恶鬼慌，四海有名称混世，西方大力号魔王。,50000
逆天鹰,16,坚硬的黄金铠甲给你逆风飞翔的保护，如地狱之火般的羽毛给你奋战到底的勇气,30000
月兔,14,萌萌的长耳以及飘带上的爱心充分展现出了她的天真烂漫，月饼对她有无法抗拒的吸引力,10000
蓬莱仙鹿,18,脚踏祥云的白鹿身体上缀有多彩的斑纹，白颈下华贵的蓝银花坠饰与缠绕在身体上的飘带交相辉映，仙气十足,50000
小僵尸,14,来无影去无踪，吸收天地灵气，小小的身躯，蕴藏了大大的能量。想要驾驭本王吗，请先解除封印嘛,10000
虎力大仙,16,霸气炫酷的紫突显出那双亮黄发光的大眼睛，还不快带本虎仙回家，定能让你虎虎生威，威风凛凛,30000
梦奇,15,来自王者峡谷的小精灵梦奇，憨态可掬，萌动可爱，腹间的神秘图案，封印着它沉睡的力量,25000
小鲲,14,每一只北溟云鲲后裔都在追寻使命，向往更浩瀚的云海和更广阔的九天，潜移默化地感染着每位有缘的车手。,10000
白龙马,18,俊美的白龙马不只是徒有外表，惊人的速度和耐久力让其对任何东西都不屑一顾，但对主人是绝对的忠诚。,50000
蝴蝶仙子,14,可爱的外表，甜甜的声音，温柔而坚定的鼓励伴随着赛车手冲向终点,10000
哮天犬,18,白青相间的哮天犬嘶啸降临，据说此行的目的是为了前来寻找它那个三只眼的主人,50000
银角大王,14,身着素衣的银角大王看似温顺可爱，紫色的瞳色魅惑神秘，那只银色的独角，具有毁天灭地的力量,10000
金角大王,14,可爱的金角大王身着黑衫，那一对闪闪发光的犄角，据说拥有起死回生的能力,10000
丘比特,14,象征爱情的丘比特，谨记爱神的教诲，在人间苦练箭术，为成为一名合格的弓箭手而不断努力着,10000
玉面狐,14,来自狐森的玉面小狐仙，为了再次见到曾赠予它金铃铛的有缘人，为此开始了漫长的修行之旅,10000
企鹅囡囡,10,乖巧的企鹅囡囡集美貌与智慧于一身，能为赛车手们带来最贴心的守护,8000
企鹅仔仔,10,帅气的企鹅仔仔勇敢机智、本领多多，是赛车手们最忠实的伙伴。,8000
