year,ID,Estimate; HOUSEHOLDS BY TYPE - Total households,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over,Estimate; HOUSEHOLDS BY TYPE - Average household size,Estimate; HOUSEHOLDS BY TYPE - Average family size,Estimate; RELATIONSHIP - Population in households,Estimate; MARITAL STATUS - Males 15 years and over,Estimate; MARITAL STATUS - Females 15 years and over,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years,Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Estimate; VETERAN STATUS - Civilian population 18 years and over,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over,Estimate; PLACE OF BIRTH - Total population,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population,Estimate; YEAR OF ENTRY - Population born outside the United States,Estimate; YEAR OF ENTRY - Native,Estimate; YEAR OF ENTRY - Foreign born,Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population£» excluding population born at sea,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over,Estimate; ANCESTRY - Total population,number
0,21001,7272.0,2258.0,2113.0,2.41,2.93,17550.0,7432.0,7646.0,271.0,236.0,4541.0,12228.0,14321.0,18378.0,18542.0,127.0,212.0,85.0,127.0,127.0,17429.0,18542.0,88
1,21001,7193.0,1969.0,2207.0,2.46,3.06,17720.0,7505.0,7657.0,242.0,217.0,4470.0,12337.0,14399.0,18461.0,18613.0,145.0,254.0,109.0,145.0,145.0,17507.0,18613.0,108
2,21001,7236.0,1883.0,2215.0,2.44,3.03,17668.0,7428.0,7766.0,287.0,263.0,4570.0,12372.0,14467.0,18538.0,18651.0,188.0,240.0,52.0,188.0,188.0,17585.0,18651.0,145
3,21001,7241.0,1979.0,2173.0,2.44,3.0,17649.0,7470.0,7837.0,237.0,204.0,4641.0,12375.0,14606.0,18562.0,18696.0,172.0,240.0,68.0,172.0,172.0,17671.0,18696.0,73
4,21001,7124.0,1951.0,2171.0,2.51,3.06,17846.0,7712.0,8036.0,321.0,221.0,4826.0,12489.0,15032.0,18864.0,19032.0,202.0,251.0,49.0,202.0,202.0,18011.0,19032.0,107
5,21001,7048.0,1879.0,2203.0,2.5,3.1,17609.0,7615.0,8023.0,285.0,203.0,4874.0,12634.0,14935.0,18717.0,18852.0,243.0,304.0,61.0,243.0,243.0,17889.0,18852.0,132
6,21001,7126.0,1953.0,2211.0,2.51,3.05,17887.0,7800.0,8149.0,306.0,191.0,4981.0,12753.0,15245.0,19024.0,19156.0,202.0,276.0,74.0,202.0,202.0,18203.0,19156.0,115
0,21003,7811.0,2662.0,1995.0,2.47,2.95,19274.0,7638.0,8114.0,477.0,314.0,4549.0,13142.0,14808.0,19416.0,19688.0,325.0,615.0,290.0,325.0,325.0,18374.0,19688.0,168
1,21003,7849.0,2590.0,2063.0,2.49,3.03,19580.0,7764.0,8173.0,511.0,318.0,4791.0,13301.0,14984.0,19600.0,19866.0,294.0,571.0,277.0,294.0,294.0,18542.0,19866.0,115
2,21003,7980.0,2570.0,2168.0,2.47,3.01,19726.0,7782.0,8264.0,497.0,275.0,4644.0,13429.0,15158.0,19756.0,20007.0,269.0,828.0,559.0,269.0,269.0,18707.0,20007.0,184
3,21003,8061.0,2624.0,2192.0,2.46,2.97,19863.0,7822.0,8262.0,500.0,288.0,4691.0,13473.0,15222.0,19902.0,20123.0,282.0,736.0,454.0,282.0,282.0,18862.0,20123.0,108
4,21003,8057.0,2689.0,2276.0,2.48,3.0,19981.0,7863.0,8320.0,411.0,234.0,4755.0,13512.0,15349.0,20005.0,20219.0,214.0,592.0,378.0,214.0,214.0,18978.0,20219.0,98
5,21003,7774.0,2673.0,2284.0,2.59,3.13,20140.0,7954.0,8352.0,417.0,198.0,4720.0,13724.0,15465.0,20197.0,20355.0,238.0,527.0,289.0,238.0,238.0,19124.0,20355.0,54
6,21003,7705.0,2575.0,2259.0,2.62,3.14,20208.0,8058.0,8313.0,413.0,191.0,4444.0,13827.0,15526.0,20240.0,20421.0,208.0,537.0,329.0,208.0,208.0,19186.0,20421.0,107
0,21005,8319.0,3137.0,1719.0,2.51,2.89,20899.0,8015.0,8681.0,517.0,369.0,5407.0,14156.0,15663.0,20857.0,21080.0,363.0,476.0,113.0,363.0,363.0,19691.0,21080.0,98
